S.No,Crime,Gender,Age,Income,Job,Maritalstatus,Education,Harm,Attack,AttackMethod
0,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,Primary Education,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
1,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Low,Student,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
2,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Retired,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
3,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering
4,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Others,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
5,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Retired,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
6,Misuse of Debit Cards or Credit Cards,Male,51 and Above,High,Justice and Security,Married,Under Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
7,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
8,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Middle,Justice and Security,Single,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
9,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
10,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Retired,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
11,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
12,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
13,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Technical,Single,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
14,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
15,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
16,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
17,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
18,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
19,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,Others,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
20,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
21,Misuse of Debit Cards or Credit Cards,Male,27 and Under,Middle,Technical,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
22,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
23,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Middle,Justice and Security,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
24,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Retired,Married,High School,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
25,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
26,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
27,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
28,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
29,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Middle,IT Sector,Married,High School,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
30,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Middle,Justice and Security,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
31,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Middle,Technical,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
32,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Obtaining Electronic Bank Accounts,Hacking Tools or Malware
33,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
34,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
35,Misuse of Debit Cards or Credit Cards,Female,Between 28 and 37,Low,Housewife,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
36,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
37,Misuse of Debit Cards or Credit Cards,Female,Between 28 and 37,Low,Technical,Single,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering
38,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
39,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering
40,Misuse of Debit Cards or Credit Cards,Female,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping by Intoducing Himself as a Bank Clerk,Hacking Social Media Accounts,Social Engineering
41,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
42,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
43,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
44,Misuse of Debit Cards or Credit Cards,Female,51 and Above,Low,Housewife,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
45,Misuse of Debit Cards or Credit Cards,Female,27 and Under,Middle,Justice and Security,Single,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
46,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,Primary Education,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
47,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
48,Misuse of Debit Cards or Credit Cards,Female,Between 28 and 37,Middle,Health Sector Manager,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
49,Misuse of Debit Cards or Credit Cards,Male,51 and Above,Middle,Technical,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
50,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Others,Married,Graduate,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
51,Misuse of Debit Cards or Credit Cards,Male,Between 38 and 50,Low,Technical,Married,High School,Fraud,Hacking Social Media Accounts,Creating a Fake Shopping Site
52,Misuse of Debit Cards or Credit Cards,Male,Between 28 and 37,Low,Technical,Married,High School,Internet Shopping Out of Knowledge,Hacking Social Media Accounts,Social Engineering
